series,adf_statistic,p_value,n_lags_used,n_obs,crit_1%,crit_5%,crit_10%,stationary_at_5%
raw (level),-9.1268982217349,3.096152603144001e-15,29,3260,-3.432357502010421,-2.862426994644342,-2.567242166152283,True
first-difference (d=1),-16.907034655463487,1.017405637577498e-29,29,3259,-3.4323581184837426,-2.862427266935068,-2.5672423111140947,True
seasonal difference (24h),-13.645960995843744,1.6194778942274886e-25,25,3240,-3.4323699038367206,-2.8624324724087438,-2.5672450823997868,True
diff(1) + seasonal diff(24),-17.978151348540337,2.7807413213042514e-30,29,3235,-3.4323730282726124,-2.8624338524376807,-2.5672458170990113,True
