variant,eval,RMSE,MAE,MAPE_%
true_forecast,single_24h,238.93045412931193,172.86153157552084,25.034545696100572
true_forecast,rolling_14day,372.9794114960743,240.93270842234296,38.49068404497438
conditional,single_24h,231.25683169919031,187.66228485107422,32.347673545508464
conditional,rolling_14day,379.2808029536033,284.4744908469064,53.81593474604417
